TEAM_NAME,GP,W,L,W_PCT,POSS,PACE,PACE_RANK,PACE_PER40
Agua Caliente Clippers,15,5,10,0.333,1508,100.35,15,83.63
Austin Spurs,15,10,5,0.667,1541,102.32,9,85.26
Canton Charge,15,5,10,0.333,1500,99.35,17,82.79
Delaware Blue Coats,15,10,5,0.667,1561,104.1,5,86.75
Erie BayHawks,15,11,4,0.733,1523,101.57,12,84.64
Fort Wayne Mad Ants,15,6,9,0.4,1583,104.47,4,87.06
G League Ignite,15,8,7,0.533,1539,102.08,10,85.07
Greensboro Swarm,15,5,10,0.333,1572,105.07,2,87.56
Iowa Wolves,15,2,13,0.133,1553,102.68,8,85.56
Lakeland Magic,15,9,6,0.6,1512,100.35,15,83.63
Long Island Nets,15,7,8,0.467,1514,100.75,14,83.96
Memphis Hustle,15,6,9,0.4,1573,104.87,3,87.39
Oklahoma City Blue,15,8,7,0.533,1602,106.31,1,88.59
Raptors 905,15,12,3,0.8,1566,103.37,7,86.14
Rio Grande Valley Vipers,15,9,6,0.6,1532,101.97,11,84.97
Salt Lake City Stars,15,4,11,0.267,1473,97.99,18,81.66
Santa Cruz Warriors,15,11,4,0.733,1526,101.06,13,84.21
Westchester Knicks,15,7,8,0.467,1564,103.98,6,86.65
