"","PLAYER_NAME","TEAM_ABBREVIATION","Restricted_Area_FGM","Restricted_Area_FGA","Restricted_Area_FG_PCT","In_The_Paint_Non_RA_FGM","In_The_Paint_Non_RA_FGA","In_The_Paint_Non_RA_FG_PCT","Mid_Range_FGM","Mid_Range_FGA","Mid_Range_FG_PCT","Left_Corner_3_FGM","Left_Corner_3_FGA","Left_Corner_3_FG_PCT","Right_Corner_3_FGM","Right_Corner_3_FGA","Right_Corner_3_FG_PCT","Above_the_Break_3_FGM","Above_the_Break_3_FGA","Above_the_Break_3_FG_PCT","Backcourt_3_FGM","Backcourt_3_FGA","Backcourt_3_FG_PCT"
"1","Aaron Epps","CTN","0.8","1.6","0.526","0.2","0.3","0.667","0.3","0.4","0.6","0.2","0.4","0.4","0.3","0.4","0.6","0.5","2.1","0.24","0","0","0"
"2","Adam Mokoka","AUS","1.3","2.5","0.5","0","0","0","0","0","0","0.3","0.8","0.333","0","0.8","0","0.5","2.3","0.222","0","0","0"
"3","Ade Murkey","IWA","1.2","1.8","0.667","0.7","1.1","0.643","0.2","1","0.231","0.1","0.7","0.125","0.2","0.3","0.5","0.6","1.5","0.421","0","0","0"
"4","Admiral Schofield","GBO","1.9","3.1","0.628","0.6","1.6","0.348","0.6","1.4","0.4","0.2","0.7","0.3","0.1","0.6","0.111","0.8","3.3","0.239","0","0.1","0"
"5","Ahmad Caver","MHU","2.8","4.7","0.592","1.8","3.4","0.529","0.5","1","0.467","0.3","0.3","0.8","0.1","0.3","0.2","0.8","1.9","0.414","0","0.1","0"
"6","Ahmed Hill","GBO","0.3","0.8","0.333","0.1","0.2","0.5","0.1","0.3","0.333","0.1","0.4","0.25","0.1","0.5","0.2","0.9","2","0.455","0","0","0"
"7","Aleksej Pokusevski","OKL","1.1","2.1","0.519","0.4","1.4","0.278","0.2","1.3","0.176","0.2","0.7","0.222","0","0.2","0","1.2","3.9","0.294","0","0","0"
"8","Alen Smailagic","SCW","2.4","3.2","0.75","0.4","0.8","0.5","0","0","0","0.1","0.1","1","0","0","0","0.2","1.9","0.105","0","0","0"
"9","Alize Johnson","RAP","5","7.5","0.664","1.2","2.5","0.474","0.1","0.3","0.25","0.1","0.4","0.333","0.1","0.2","0.333","0.3","1","0.333","0","0","0"
"10","Allonzo Trier","IWA","1.8","2.6","0.696","0.1","0.7","0.167","0.7","1","0.667","0.1","0.6","0.2","0.1","0.4","0.333","1.2","5.1","0.239","0","0","0"
"11","Amida Brimah","FWN","2.7","4.7","0.574","0.6","1","0.6","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0"
